sol,easting,northing,elevation,latitude,longitude
1044,8142562.438,-276697.127,-4448.01,-4.723239863,137.369953424
1046,8142563.025,-276698.219,-4448.09,-4.723258502,137.369963327
1049,8142574.594,-276693.922,-4447.13,-4.723185159,137.370158503
1051,8142579.427,-276693.318,-4446.85,-4.72317485,137.370240039
1053,8142582.534,-276696.373,-4446.79,-4.723226994,137.370292456
1056,8142582.897,-276695.773,-4446.91,-4.723216753,137.37029858
1066,8142559.876,-276693.912,-4447.67,-4.723184989,137.369910202
1067,8142567.045,-276709.855,-4447.08,-4.723457108,137.370031147
1072,8142542.437,-276734.703,-4444.91,-4.723881221,137.369615995
1073,8142528.034,-276775.791,-4442.46,-4.724582522,137.369373008
1074,8142523.232,-276796.222,-4442.01,-4.724931244,137.369291995
1078,8142515.31,-276823.682,-4439.8,-4.725399938,137.369158346
1080,8142513.366,-276850.688,-4438.06,-4.725860884,137.36912555
1083,8142515.658,-276870.195,-4438.59,-4.726193835,137.369164217
1085,8142529.678,-276896.649,-4438.18,-4.726645359,137.369400743
1087,8142529.663,-276900.263,-4437.79,-4.726707043,137.36940049
1093,8142541.488,-276897.038,-4436.7,-4.726651998,137.369599985
1094,8142557.763,-276910.665,-4434.43,-4.726884587,137.369874554
1098,8142554.799,-276921.045,-4433.98,-4.727061756,137.369824549
1099,8142538.56,-276950.523,-4433.64,-4.727564894,137.369550588
1100,8142524.948,-276980.674,-4433.06,-4.72807952,137.369320945
1104,8142513.684,-276986.388,-4434.33,-4.728177048,137.369130915
1106,8142505.802,-276988.288,-4434.09,-4.728209478,137.36899794
1107,8142500.867,-276982.001,-4435.11,-4.728102169,137.368914684
1108,8142497.735,-276981.579,-4435.4,-4.728094967,137.368861845
1110,8142485.787,-276990.822,-4435.34,-4.728252729,137.368660275
1112,8142481.204,-276998.711,-4434.69,-4.72838738,137.368582957
1127,8142484.991,-276999.31,-4434.52,-4.728397604,137.368646846
1144,8142497.305,-276996.556,-4434.01,-4.728350598,137.368854591
1148,8142471.043,-277010.016,-4433.39,-4.728580337,137.368411535
1151,8142477.994,-277013.701,-4433.11,-4.728643233,137.368528803
